schluessel;regionaleinheit;wert
01001;Flensburg;11.2
01002;Kiel;10.5
01003;Lübeck;7.9
01004;Neumünster;7.8
01051;Dithmarschen;7.1
01053;Herzogtum Lauenburg;6.5
01054;Nordfriesland;6.9
01055;Ostholstein;6
01056;Pinneberg;6.7
01057;Plön;6
01058;Rendsburg-Eckernförde;6.6
01059;Schleswig-Flensburg;6.3
01060;Segeberg;6.6
01061;Steinburg;6.7
01062;Stormarn;6.3
02000;Hamburg;7.8
03101;Braunschweig;8.6
03102;Salzgitter;7.5
03103;Wolfsburg;6.7
03151;Gifhorn;6.5
03153;Goslar;7.1
03154;Helmstedt;6.2
03155;Northeim;6.7
03157;Peine;6.9
03158;Wolfenbüttel;6.7
03159;Göttingen;8.5
03241;Region Hannover;7.7
03251;Diepholz;6.9
03252;Hameln-Pyrmont;6.7
03254;Hildesheim;7.7
03255;Holzminden;7
03256;Nienburg (Weser);7.3
03257;Schaumburg;6.9
03351;Celle;6.8
03352;Cuxhaven;6.3
03353;Harburg;6.7
03354;Lüchow-Dannenberg;6.1
03355;Lüneburg;8.1
03356;Osterholz;6.4
03357;Rotenburg (Wümme);7.5
03358;Heidekreis;7.6
03359;Stade;7.2
03360;Uelzen;6.6
03361;Verden;6.9
03401;Delmenhorst;7.6
03402;Emden;8.6
03403;Oldenburg (Oldb);9.5
03404;Osnabrück;11.4
03405;Wilhelmshaven;7.9
03451;Ammerland;7
03452;Aurich;7.2
03453;Cloppenburg;8.8
03454;Emsland;7.8
03455;Friesland;6.5
03456;Grafschaft Bentheim;7.4
03457;Leer;7.3
03458;Oldenburg, Landkreis;7.2
03459;Osnabrück, Landkreis;7.4
03460;Vechta;8.8
03461;Wesermarsch;7.1
03462;Wittmund;6.8
04011;Bremen;8.2
04012;Bremerhaven;8.2
05111;Düsseldorf;7.1
05112;Duisburg;7.7
05113;Essen;7.3
05114;Krefeld;7.3
05116;Mönchengladbach;7.8
05117;Mülheim an der Ruhr;6.5
05119;Oberhausen;6.7
05120;Remscheid;7.1
05122;Solingen;7.1
05124;Wuppertal;8
05154;Kleve;7.5
05158;Mettmann;6.5
05162;Rhein-Kreis Neuss;6.6
05166;Viersen;6.5
05170;Wesel;6.4
05314;Bonn;9.7
05315;Köln;8.1
05316;Leverkusen;7.1
05334;Städteregion Aachen;10.3
05358;Düren;7.3
05362;Rhein-Erft-Kreis;7
05366;Euskirchen;6.9
05370;Heinsberg;6.9
05374;Oberbergischer Kreis;7.1
05378;Rheinisch-Bergischer Kreis;6.5
05382;Rhein-Sieg-Kreis;7.1
05512;Bottrop;6.8
05513;Gelsenkirchen;7.7
05515;Münster;12.2
05554;Borken;7.5
05558;Coesfeld;6.9
05562;Recklinghausen;6.9
05566;Steinfurt;7.7
