Region	Insgesamt	männlich	weiblich
Deutschland	84358845	41559052	42799793
Schleswig-Holstein	2953270	1443269	1510001
Flensburg, kreisfreie Stadt	92550	45874	46676
Kiel, kreisfreie Stadt	247717	120149	127568
Lübeck, kreisfreie Stadt, Hansestadt	218095	104723	113372
Neumünster, kreisfreie Stadt	79502	39256	40246
Dithmarschen, Kreis	135252	66561	68691
Herzogtum Lauenburg, Kreis	203712	99689	104023
Nordfriesland, Kreis	169043	82669	86374
Ostholstein, Kreis	203606	97822	105784
Pinneberg, Kreis	322130	157663	164467
Plön, Kreis	131266	63357	67909
Rendsburg-Eckernförde, Kreis	278979	137154	141825
Schleswig-Flensburg, Kreis	206038	101614	104424
Segeberg, Kreis	284988	140654	144334
Steinburg, Kreis	132419	65268	67151
Stormarn, Kreis	247973	120816	127157
Hamburg	1892122	925616	966506
Niedersachsen	8140242	4009822	4130420
Braunschweig, kreisfreie Stadt	251804	124770	127034
Salzgitter, kreisfreie Stadt	104548	51829	52719
Wolfsburg, kreisfreie Stadt	125961	62441	63520
Gifhorn, Landkreis	180232	89675	90557
Göttingen, Landkreis	-	-	-
Goslar, Landkreis	134672	66690	67982
Helmstedt, Landkreis	92470	45648	46822
Northeim, Landkreis	133258	65576	67682
Osterode am Harz, Landkreis	-	-	-
Peine, Landkreis	138931	68750	70181
Wolfenbüttel, Landkreis	120531	59652	60879
Göttingen, Landkreis	328458	161027	167431
Hannover, Landeshauptstadt	545045	266093	278952
Diepholz, Landkreis	222816	110415	112401
Hameln-Pyrmont, Landkreis	150640	72781	77859
Hildesheim, Landkreis	278371	135757	142614
Holzminden, Landkreis	70911	35112	35799
Nienburg (Weser), Landkreis	123469	61060	62409
Schaumburg, Landkreis	159960	78375	81585
Celle, Landkreis	181994	89138	92856
Cuxhaven, Landkreis	201413	98150	103263
Harburg, Landkreis	261890	128854	133036
Lüchow-Dannenberg, Landkreis	49178	23981	25197
Lüneburg, Landkreis	187552	91180	96372
Osterholz, Landkreis	116551	56813	59738
Rotenburg (Wümme), Landkreis	167604	83960	83644
Heidekreis	145394	72697	72697
Stade, Landkreis	210306	104302	106004
Uelzen, Landkreis	94362	45906	48456
Verden, Landkreis	140913	69141	71772
Weser-Ems, Statistische Region	2592162	1282629	1309533
Delmenhorst, kreisfreie Stadt	78385	38557	39828
Emden, kreisfreie Stadt	50535	25071	25464
Oldenburg (Oldenburg), kreisfreie Stadt	172830	82742	90088
